connector_pk,physical_plug_id,hashed_charge_box_id,vendor,model
1744735,1,8798cead57abc6a4c36761fb280e25ce7ebc86beffd1dddaad291d4cc30b5ce1,Tucker,Fatafat
1679593,1,96088fa11f9b61057829eca60d3c1f20239af177a03135b2bebe4d9061816a7a,SIEMENS,01
1679594,2,96088fa11f9b61057829eca60d3c1f20239af177a03135b2bebe4d9061816a7a,SIEMENS,01
1909736,0,fa3c27acdc1602f771eaf3d5ce3ea21522e67612d5fe1093c5af66a477cf9e78,CN.TH,01
1880098,1,fa3c27acdc1602f771eaf3d5ce3ea21522e67612d5fe1093c5af66a477cf9e78,CN.TH,01
1880097,2,fa3c27acdc1602f771eaf3d5ce3ea21522e67612d5fe1093c5af66a477cf9e78,CN.TH,01
2013696,0,0c70c6b0569cfdc7dda646e2d5a229f3f0063113fcc87ac6ec85bc73877d6b7b,CN.TH,01
2009529,1,0c70c6b0569cfdc7dda646e2d5a229f3f0063113fcc87ac6ec85bc73877d6b7b,CN.TH,01
2009530,2,0c70c6b0569cfdc7dda646e2d5a229f3f0063113fcc87ac6ec85bc73877d6b7b,CN.TH,01
4784325,1,d4416bd81386758833569ba76d7408f0ab8e27cd8e7e0caac381b63d2b84e38d,VENDOR-P1,VENDOR-P1
5802030,2,d4416bd81386758833569ba76d7408f0ab8e27cd8e7e0caac381b63d2b84e38d,VENDOR-P1,VENDOR-P1
3281109,0,fcc1ad183c16c6ba1ed99eab3f40f8ad3ff8a80a330e26fd87a20ac0d25a1fd6,SIEMENS,01
2363334,1,fcc1ad183c16c6ba1ed99eab3f40f8ad3ff8a80a330e26fd87a20ac0d25a1fd6,SIEMENS,01
2590508,0,f05af0e83d37e26f98bb1dc600d779968bb56d97c41fa330f583c20f88d9ccfd,IONGRID,SUPERNOVA
2436871,1,f05af0e83d37e26f98bb1dc600d779968bb56d97c41fa330f583c20f88d9ccfd,IONGRID,SUPERNOVA
2436870,2,f05af0e83d37e26f98bb1dc600d779968bb56d97c41fa330f583c20f88d9ccfd,IONGRID,SUPERNOVA
2732147,0,9e0c60fe51d812caed04467fa9220d88003a254b402c65b1c8b6eb0133503366,Exicom,HE518118
2731433,1,9e0c60fe51d812caed04467fa9220d88003a254b402c65b1c8b6eb0133503366,Exicom,HE518118
2731434,2,9e0c60fe51d812caed04467fa9220d88003a254b402c65b1c8b6eb0133503366,Exicom,HE518118
2789138,0,df2cd091651c294daefff0cd206b8e088816f41de68a1ee46cb10e145c17708f,IONGRID,SUPERNOVA
2783143,1,df2cd091651c294daefff0cd206b8e088816f41de68a1ee46cb10e145c17708f,IONGRID,SUPERNOVA
2783142,2,df2cd091651c294daefff0cd206b8e088816f41de68a1ee46cb10e145c17708f,IONGRID,SUPERNOVA
3144504,0,865615408023a358009cd073ca47dab9d8008bbbffa35aa6833e35f10ea64afe,CN.TH,01
2963101,1,865615408023a358009cd073ca47dab9d8008bbbffa35aa6833e35f10ea64afe,CN.TH,01
2963102,2,865615408023a358009cd073ca47dab9d8008bbbffa35aa6833e35f10ea64afe,CN.TH,01
4089877,0,58f8548d56bdc2ed4d06c84ace04ea896b627fa039c8483f51448a6b44773b93,CN.TH,01
3294791,1,58f8548d56bdc2ed4d06c84ace04ea896b627fa039c8483f51448a6b44773b93,CN.TH,01
4301530,0,effec622ee527252975881bc215f03312ad8afad1b2c4e6e87f39b4ad89a02c1,SIEMENS,01
4264644,1,effec622ee527252975881bc215f03312ad8afad1b2c4e6e87f39b4ad89a02c1,SIEMENS,01
4299141,0,431e92d9604c67fae4d8753dd8a38ffb49424b4ef6162915c76ce69e782d7e73,CN.TH,01
4264701,1,431e92d9604c67fae4d8753dd8a38ffb49424b4ef6162915c76ce69e782d7e73,CN.TH,01
4264700,2,431e92d9604c67fae4d8753dd8a38ffb49424b4ef6162915c76ce69e782d7e73,CN.TH,01
4994825,0,4108962c9d00ab739d2a9518b0f69a2af67d7aa5038dc762e1228f9999e9ae25,CN.TH,01
4994561,1,4108962c9d00ab739d2a9518b0f69a2af67d7aa5038dc762e1228f9999e9ae25,CN.TH,01
4994560,2,4108962c9d00ab739d2a9518b0f69a2af67d7aa5038dc762e1228f9999e9ae25,CN.TH,01
2126370,0,dc5c2008ad56ac9cf0325b5316e8b953a8281941597ad851bee4a3f130ff1367,VENDOR-P251,3.3KW
2126185,1,dc5c2008ad56ac9cf0325b5316e8b953a8281941597ad851bee4a3f130ff1367,VENDOR-P251,3.3KW
6263450,0,6adb3c1eba81d5145886c542b2b8ee2697ac40a0463956c3d1ae5249aa326052,SIEMENS,01
6253760,1,6adb3c1eba81d5145886c542b2b8ee2697ac40a0463956c3d1ae5249aa326052,SIEMENS,01
4746767,1,8905fc471184652b586f1462cff33618a6c4dd03766bef5592a60ac614ee5e76,NULL,NULL
4746768,2,8905fc471184652b586f1462cff33618a6c4dd03766bef5592a60ac614ee5e76,NULL,NULL
2209148,0,bc9add7ac0ecc77c85f34e54724e7d6452e4f99b91498421f20b3f3a32b049db,CN.TH,01
2036074,1,bc9add7ac0ecc77c85f34e54724e7d6452e4f99b91498421f20b3f3a32b049db,CN.TH,01
2198792,0,f445710f16d40682995da6fffe5db8b4c8992f340d25276a11841398964a5d69,SIEMENS,01
2170302,1,f445710f16d40682995da6fffe5db8b4c8992f340d25276a11841398964a5d69,SIEMENS,01
2170303,2,f445710f16d40682995da6fffe5db8b4c8992f340d25276a11841398964a5d69,SIEMENS,01
2577223,0,686ba97ee66b9aeb395e3cd24ba2d77739666f93f002bfe981b76f19d4b64cf9,EXICOM,HE518847
2363324,1,686ba97ee66b9aeb395e3cd24ba2d77739666f93f002bfe981b76f19d4b64cf9,EXICOM,HE518847
2363325,2,686ba97ee66b9aeb395e3cd24ba2d77739666f93f002bfe981b76f19d4b64cf9,EXICOM,HE518847
2557424,0,2e50193202bea324cf06cd9bd779fe36de9ec126293288d83a291195284527ae,IONGRID,SUPERNOVA
2363328,1,2e50193202bea324cf06cd9bd779fe36de9ec126293288d83a291195284527ae,IONGRID,SUPERNOVA
2363329,2,2e50193202bea324cf06cd9bd779fe36de9ec126293288d83a291195284527ae,IONGRID,SUPERNOVA
2709781,0,96bf94bdc3912a17c7f0edb0a37b4b46c48fcfbd2af761a440b0820a3aa9a66c,Exicom,HE518506
2363331,1,96bf94bdc3912a17c7f0edb0a37b4b46c48fcfbd2af761a440b0820a3aa9a66c,Exicom,HE518506
5774465,2,96bf94bdc3912a17c7f0edb0a37b4b46c48fcfbd2af761a440b0820a3aa9a66c,Exicom,HE518506
2709713,0,74d4d7a0cbc3cc83d691c9f3fbf8e3299b827b73040c70cdc82893e2aaa835d7,IONGRID,3.3KW
2709549,1,74d4d7a0cbc3cc83d691c9f3fbf8e3299b827b73040c70cdc82893e2aaa835d7,IONGRID,3.3KW
2709757,0,9a7e4268fe372c46e8e49b922f21761a196abc472fa5427b34e9a8b59cc49ca3,IONGRID,"7.4KW Charger"
2709616,1,9a7e4268fe372c46e8e49b922f21761a196abc472fa5427b34e9a8b59cc49ca3,IONGRID,"7.4KW Charger"
2751547,1,197225e3755bcb172a07f9a56be3fb435b3a5504e6759d66d8b19fa4d730398f,Tucker,Fatafat
2751566,1,981038588429af2000566b12a7e84eda9dd784f37b62ad1746b55089fbc74853,Tucker,Fatafat
3501494,1,183c3f208af90758fa95899ae788bba2eb21c69b33ea475ece24d38bd1c74d7f,Tucker,Fatafat
3501509,1,fa1677dc61fb5e54af3a0f8afef84bc757bcca33796efa2a0d0d60cdac306c7d,Tucker,Fatafat
3501699,1,fbdcd07a2709da817b848e63f8ea4701d66555b50d9ecd43807128af78dd7ba3,Tucker,Fatafat
3502522,1,99a46cb0b35c4650798487406f599788dd46462c97cfeb0ef59000a4dde9798c,Tucker,Fatafat
3502537,1,5fcea75e2567c82874c091479aa5644e1f450c462626642d6f35ca0a79b6c1ef,Tucker,Fatafat
5771014,0,17fcade76be53479216572ddce49282f3cc093da470ac4c65ec7fcc790c09cd1,Tucker,Fatafat
3502629,1,17fcade76be53479216572ddce49282f3cc093da470ac4c65ec7fcc790c09cd1,Tucker,Fatafat
3502648,1,7ed43c45864495561669f4d8bbddf58797359b842d80a9da49b1a2c9b76874c9,ACSENERGY,3.3kw
3502681,1,e39114c52c543556046876fde1e98078f68bf84153dfb7213f0ceeef13920943,Tucker,Fatafat
6205547,0,d7c53e8c84ba68c492ab9b2cb0b2327621e6bbc7637cf0c98ab0552862efd8a6,Tucker,Type2
3502700,1,d7c53e8c84ba68c492ab9b2cb0b2327621e6bbc7637cf0c98ab0552862efd8a6,Tucker,Type2
3798094,0,576a3e9910c7e9f02b0de37f785db4cdf6fd5d76f4af59fbf2c58df1d1087895,ACSENERGY,3.3kw
3794574,1,576a3e9910c7e9f02b0de37f785db4cdf6fd5d76f4af59fbf2c58df1d1087895,ACSENERGY,3.3kw
3827777,0,d4537697d7f287e338e238e48a687aded8ef705830474274357bc083d75102dc,ACS285,3.3kw
3794587,1,d4537697d7f287e338e238e48a687aded8ef705830474274357bc083d75102dc,ACS285,3.3kw
3954206,0,a49f7413c401405281e0dd0634ce9fb5127367a37466a5c41abcd9d6ebaf238d,ACS286,3.3kw
